backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
cpu,256,4096,1024,16,8,3,26.103157,1,302186496,10.781574
cpu,256,1024,4096,16,8,3,26.416795,1,416022528,14.666850
cpu,256,4096,16384,16,8,3,1561.183695,1,4080009216,2.433925
cpu,256,4096,512,16,8,3,13.758904,1,176259072,11.930751
cpu,256,8192,4096,16,8,3,426.359382,1,1913389056,4.179531
cpu,32,4096,1024,16,8,3,3.521753,1,214106112,56.620062
cpu,32,1024,4096,16,8,3,3.098871,1,228851712,68.778206
cpu,32,4096,16384,16,8,3,169.720040,1,3331325952,18.280334
cpu,32,4096,512,16,8,3,1.734515,1,110198784,59.169644
cpu,32,8192,4096,16,8,3,52.243156,1,1649147904,29.398850
cpu,1,4096,1024,16,8,3,0.305280,1,201916416,615.989637
cpu,1,1024,4096,16,8,3,0.191348,1,202948608,987.786386
cpu,1,4096,512,16,8,3,0.146563,1,101056512,642.155325
cpu,8,4096,1024,16,8,3,1.066260,1,204668928,178.767704
cpu,64,4096,1024,16,8,3,6.311282,1,226689024,33.451301
