# colibri Strix Halo int8 matmul profile
# iterations per shape: 5
backend,rows,inner,out,fmt,iters,total_ns,fixed_ns,alloc_ns,upload_ns,submit_ns,wait_ns,readback_ns,teardown_ns
cpu,1,4096,1024,1,5,43666.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,1,4096,1024,1,5,27747133.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 1x4096x1024: no .npukernel artifact
cpu,8,4096,1024,1,5,334244.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,8,4096,1024,1,5,27791376.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 8x4096x1024: no .npukernel artifact
cpu,32,4096,1024,1,5,1400125.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,32,4096,1024,1,5,28205125.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 32x4096x1024: no .npukernel artifact
cpu,64,4096,1024,1,5,2796352.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,64,4096,1024,1,5,28611227.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 64x4096x1024: no .npukernel artifact
cpu,256,4096,1024,1,5,11299852.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,256,4096,1024,1,5,34014115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 256x4096x1024: no .npukernel artifact
cpu,512,4096,1024,1,5,22349110.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,512,4096,1024,1,5,40206163.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 512x4096x1024: no .npukernel artifact
cpu,1,1024,4096,1,5,49287.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,1,1024,4096,1,5,29711473.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 1x1024x4096: no .npukernel artifact
cpu,8,1024,4096,1,5,380599.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,8,1024,4096,1,5,30176934.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 8x1024x4096: no .npukernel artifact
cpu,32,1024,4096,1,5,1392814.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,32,1024,4096,1,5,31656129.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 32x1024x4096: no .npukernel artifact
cpu,64,1024,4096,1,5,3176258.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,64,1024,4096,1,5,34016625.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 64x1024x4096: no .npukernel artifact
cpu,256,1024,4096,1,5,12797109.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,256,1024,4096,1,5,46947260.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 256x1024x4096: no .npukernel artifact
cpu,512,1024,4096,1,5,25622913.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,512,1024,4096,1,5,65564632.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 512x1024x4096: no .npukernel artifact
cpu,1,4096,16384,1,5,1403899.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,1,4096,16384,1,5,3977332247.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 1x4096x16384: no .npukernel artifact
cpu,8,4096,16384,1,5,11193660.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,8,4096,16384,1,5,3970588621.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 8x4096x16384: no .npukernel artifact
cpu,32,4096,16384,1,5,43355079.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,32,4096,16384,1,5,3994397115.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 32x4096x16384: no .npukernel artifact
cpu,64,4096,16384,1,5,91012213.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,64,4096,16384,1,5,4042598368.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 64x4096x16384: no .npukernel artifact
cpu,256,4096,16384,1,5,359140388.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,256,4096,16384,1,5,4163584266.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 256x4096x16384: no .npukernel artifact
cpu,512,4096,16384,1,5,719377055.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,512,4096,16384,1,5,4310311130.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 512x4096x16384: no .npukernel artifact
cpu,1,4096,512,1,5,21857.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,1,4096,512,1,5,10042019.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 1x4096x512: no .npukernel artifact
cpu,8,4096,512,1,5,166941.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,8,4096,512,1,5,10443655.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 8x4096x512: no .npukernel artifact
cpu,32,4096,512,1,5,716993.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,32,4096,512,1,5,10787923.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 32x4096x512: no .npukernel artifact
cpu,64,4096,512,1,5,1422173.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,64,4096,512,1,5,9595359.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 64x4096x512: no .npukernel artifact
cpu,256,4096,512,1,5,5710853.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,256,4096,512,1,5,12014740.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 256x4096x512: no .npukernel artifact
cpu,512,4096,512,1,5,11614772.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,512,4096,512,1,5,15378101.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 512x4096x512: no .npukernel artifact
cpu,1,8192,4096,1,5,602749.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,1,8192,4096,1,5,469179419.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 1x8192x4096: no .npukernel artifact
cpu,8,8192,4096,1,5,4450024.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,8,8192,4096,1,5,469648375.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 8x8192x4096: no .npukernel artifact
cpu,32,8192,4096,1,5,17974785.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,32,8192,4096,1,5,476255509.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 32x8192x4096: no .npukernel artifact
cpu,64,8192,4096,1,5,35501551.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,64,8192,4096,1,5,484780224.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 64x8192x4096: no .npukernel artifact
cpu,256,8192,4096,1,5,142521384.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,256,8192,4096,1,5,539558757.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 256x8192x4096: no .npukernel artifact
cpu,512,8192,4096,1,5,284511258.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
gpu,512,8192,4096,1,5,602469161.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
# skip npu 512x8192x4096: no .npukernel artifact
# 60 record(s)
