backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
gpu,256,4096,1024,40,1,5,0.000000,0,0,0.000000
gpu,256,1024,4096,40,1,5,0.000000,0,0,0.000000
gpu,256,4096,16384,40,1,5,0.000000,0,0,0.000000
gpu,256,4096,512,40,1,5,0.000000,0,0,0.000000
gpu,256,8192,4096,40,1,5,0.000000,0,0,0.000000
gpu,32,4096,1024,40,1,5,0.000000,0,0,0.000000
gpu,32,1024,4096,40,1,5,0.000000,0,0,0.000000
gpu,32,4096,16384,40,1,5,0.000000,0,0,0.000000
gpu,32,4096,512,40,1,5,0.000000,0,0,0.000000
gpu,32,8192,4096,40,1,5,0.000000,0,0,0.000000
gpu,1,4096,1024,40,1,5,0.000000,0,0,0.000000
gpu,1,1024,4096,40,1,5,0.000000,0,0,0.000000
gpu,1,4096,512,40,1,5,0.000000,0,0,0.000000
gpu,8,4096,1024,40,1,5,0.000000,0,0,0.000000
gpu,64,4096,1024,40,1,5,0.000000,0,0,0.000000
