backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
gpu,256,4096,1024,16,1,3,140.331999,1,302186496,2.005481
gpu,256,1024,4096,16,1,3,383.275572,1,416022528,1.010895
gpu,256,4096,16384,16,1,3,7413.386267,1,4080009216,0.512560
gpu,256,4096,512,16,1,3,39.766753,1,176259072,4.127922
gpu,256,8192,4096,16,1,3,1416.483045,1,1913389056,1.258033
gpu,32,4096,1024,16,1,3,41.310625,1,214106112,4.826890
gpu,32,1024,4096,16,1,3,65.753484,1,228851712,3.241422
gpu,32,4096,16384,16,1,3,4494.216994,1,3331325952,0.690340
gpu,32,4096,512,16,1,3,23.107243,1,110198784,4.441491
gpu,32,8192,4096,16,1,3,333.746177,1,1649147904,4.601966
gpu,1,4096,1024,16,1,3,39.277069,1,201916416,4.787763
gpu,1,1024,4096,16,1,3,34.042319,1,202948608,5.552225
gpu,1,4096,512,16,1,3,21.913824,1,101056512,4.294833
gpu,8,4096,1024,16,1,3,39.968267,1,204668928,4.769103
gpu,64,4096,1024,16,1,3,44.439970,1,226689024,4.750692
