backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
gpu,256,4096,1024,1,1,3,34.894581,1,18886656,0.504077
gpu,256,1024,4096,1,1,3,47.856751,1,26001408,0.506004
gpu,256,4096,16384,1,1,3,4286.960425,1,255000576,0.055398
gpu,256,4096,512,1,1,3,12.729837,1,11016192,0.805951
gpu,256,8192,4096,1,1,3,449.378506,1,119586816,0.247840
gpu,32,4096,1024,1,1,3,28.329874,1,13381632,0.439911
gpu,32,1024,4096,1,1,3,30.994558,1,14303232,0.429783
gpu,32,4096,16384,1,1,3,4150.434499,1,208207872,0.046720
gpu,32,4096,512,1,1,3,9.581119,1,6887424,0.669485
gpu,32,8192,4096,1,1,3,413.962483,1,103071744,0.231888
gpu,1,4096,1024,1,1,3,28.062873,1,12619776,0.418813
gpu,1,1024,4096,1,1,3,29.705304,1,12684288,0.397679
gpu,1,4096,512,1,1,3,8.997594,1,6316032,0.653760
gpu,8,4096,1024,1,1,3,28.271647,1,12791808,0.421387
gpu,64,4096,1024,1,1,3,28.933767,1,14168064,0.456043
