backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
npu,256,4096,1024,16,1,3,5.447228,1,302186496,51.665380
npu,256,1024,4096,16,1,3,18.007963,1,416022528,21.515547
npu,256,4096,16384,16,1,3,82.828301,1,4080009216,45.875681
npu,256,4096,512,16,1,3,3.164999,1,176259072,51.865441
npu,256,8192,4096,16,1,3,25.362061,1,1913389056,70.261736
npu,32,4096,1024,16,1,3,1.771745,1,214106112,112.545460
npu,32,1024,4096,16,1,3,3.084517,1,228851712,69.098270
npu,32,4096,16384,16,1,3,23.256876,1,3331325952,133.403086
npu,32,4096,512,16,1,3,1.271000,1,110198784,80.747927
npu,32,8192,4096,16,1,3,9.526082,1,1649147904,161.229845
npu,1,4096,1024,16,1,3,0.000000,0,0,0.000000
npu,1,1024,4096,16,1,3,0.000000,0,0,0.000000
npu,1,4096,512,16,1,3,0.000000,0,0,0.000000
npu,8,4096,1024,16,1,3,0.000000,0,0,0.000000
npu,64,4096,1024,16,1,3,0.000000,0,0,0.000000
