backend,rows,inner_dim,out_cols,batch_size,threads,iters,elapsed_ms,success,bytes_processed,estimated_gib_s
npu,256,4096,1024,1,1,3,1.284034,1,18886656,13.698675
npu,256,1024,4096,1,1,3,1.729358,1,26001408,14.002710
npu,256,4096,16384,1,1,3,19.641279,1,255000576,12.091259
npu,256,4096,512,1,1,3,0.811930,1,11016192,12.636105
npu,256,8192,4096,1,1,3,8.484629,1,119586816,13.126550
npu,32,4096,1024,1,1,3,0.987388,1,13381632,12.621806
npu,32,1024,4096,1,1,3,0.952432,1,14303232,13.986224
npu,32,4096,16384,1,1,3,14.606163,1,208207872,13.275813
npu,32,4096,512,1,1,3,0.577965,1,6887424,11.098280
npu,32,8192,4096,1,1,3,7.243619,1,103071744,13.252083
npu,1,4096,1024,1,1,3,0.000000,0,0,0.000000
npu,1,1024,4096,1,1,3,0.000000,0,0,0.000000
npu,1,4096,512,1,1,3,0.000000,0,0,0.000000
npu,8,4096,1024,1,1,3,0.000000,0,0,0.000000
npu,64,4096,1024,1,1,3,0.000000,0,0,0.000000
